round,arena,pirate1,pirate2,pirate3,pirate4,fa1,fa2,fa3,fa4,pfa1,pfa2,pfa3,pfa4,nfa1,nfa2,nfa3,nfa4,opening_odds1,opening_odds2,opening_odds3,opening_odds4,closing_odds1,closing_odds2,closing_odds3,closing_odds4,winner
8408,1,7,10,18,11,1,-1,3,3,2,1,4,3,-1,-2,-1,0,4,13,2,3,4,13,2,3,1
8408,2,13,5,20,19,1,0,0,2,2,1,1,3,-1,-1,-1,-1,10,12,7,2,13,13,9,2,4
8408,3,9,6,16,4,1,1,2,1,1,1,3,2,0,0,-1,-1,13,10,2,2,13,10,2,2,4
8408,4,1,17,12,2,4,5,2,0,4,5,3,2,0,0,-1,-2,2,2,11,13,2,2,11,13,1
8409,0,20,7,4,5,0,2,0,-1,2,2,0,0,-2,0,0,-1,6,4,3,3,6,4,3,3,4
8409,1,1,2,16,18,0,-1,-1,1,1,2,0,3,-1,-3,-1,-2,2,13,3,4,2,13,3,4,1
8409,2,14,11,15,3,3,3,1,1,3,3,2,3,0,0,-1,-2,12,13,2,13,13,13,2,13,3
8409,3,8,17,10,19,1,4,0,0,3,4,1,1,-2,0,-1,-1,13,2,13,2,13,2,13,2,4
8409,4,6,13,12,9,-3,-3,0,0,0,1,2,1,-3,-4,-2,-1,12,4,2,3,11,4,2,3,4
8410,0,1,11,13,4,-3,2,-2,1,0,2,0,2,-3,0,-2,-1,4,9,6,2,5,10,7,2,1
8410,1,8,3,12,17,0,0,2,1,3,3,4,2,-3,-3,-2,-1,13,13,4,2,13,13,6,2,4
8410,2,20,2,7,15,0,2,5,3,0,3,6,3,0,-1,-1,0,13,13,6,2,13,13,9,2,4
8410,3,6,16,19,14,0,5,-2,1,2,5,0,3,-2,0,-2,-2,13,2,3,8,13,2,4,10,2
8410,4,9,5,10,18,-2,0,1,1,0,1,1,2,-2,-1,0,-1,13,2,7,2,13,2,7,2,4
8411,0,17,18,10,7,3,-1,0,1,4,1,1,1,-1,-2,-1,0,2,13,13,2,2,13,13,2,1
8411,1,4,12,13,5,2,2,1,0,2,4,3,2,0,-2,-2,-2,2,6,4,4,2,5,4,4,3
8411,2,8,15,11,19,3,0,1,-1,3,0,2,2,0,0,-1,-3,13,2,13,4,13,2,13,6,4
8411,3,2,9,3,16,-1,0,4,-2,1,0,5,1,-2,0,-1,-3,7,13,3,2,8,13,4,2,4
8411,4,20,1,6,14,2,4,3,2,3,5,3,3,-1,-1,0,-1,6,2,6,8,7,2,7,10,4
8412,0,12,1,14,5,3,6,-2,2,3,6,1,2,0,0,-3,0,13,2,13,3,13,2,13,4,2
8412,1,19,4,9,6,2,-1,0,-1,2,0,1,0,0,-1,-1,-1,2,6,13,11,2,9,13,13,2
8412,2,7,13,15,10,4,-2,1,2,4,1,1,3,0,-3,0,-1,7,13,2,13,9,13,2,13,3
8412,3,2,18,17,20,0,0,1,2,1,4,3,2,-1,-4,-2,0,13,13,4,2,13,13,5,2,3
8412,4,11,16,8,3,2,2,1,3,3,4,4,5,-1,-2,-3,-2,9,2,5,4,9,2,5,4,1
8413,0,3,5,1,8,5,-1,1,2,5,0,1,3,0,-1,0,-1,11,11,2,6,13,13,2,9,3
8413,1,13,2,4,18,1,2,1,1,2,4,2,2,-1,-2,-1,-1,6,7,2,3,5,7,2,3,4
8413,2,6,12,17,20,-1,3,1,1,1,3,3,2,-2,0,-2,-1,13,5,3,2,13,5,3,2,4
8413,3,11,16,9,7,3,0,1,2,3,2,2,4,0,-2,-1,-2,7,3,13,2,7,3,13,2,2
8413,4,19,14,10,15,-2,1,1,4,0,2,1,4,-2,-1,0,0,13,13,13,2,13,13,13,2,4
8414,0,6,11,12,13,1,0,4,3,1,3,4,3,0,-3,0,0,9,13,4,2,11,13,6,2,4
8414,1,9,7,16,1,-1,-1,3,2,1,1,4,3,-2,-2,-1,-1,13,12,2,2,13,13,2,2,4
8414,2,10,14,20,15,2,0,1,2,3,2,1,2,-1,-2,0,0,13,13,9,2,13,13,11,2,4
8414,3,17,19,2,4,1,-1,5,-1,1,1,5,0,0,-2,0,-1,5,3,3,4,4,3,3,4,4
8414,4,5,3,18,8,0,3,2,-1,0,4,2,2,0,-1,0,-3,3,7,2,10,3,7,2,10,1
8415,0,3,13,7,8,1,2,-1,-2,2,3,1,1,-1,-1,-2,-3,13,2,4,9,13,2,5,11,2
8415,1,11,18,14,16,2,3,4,5,2,4,4,5,0,-1,0,0,13,8,5,2,13,10,7,2,4
8415,2,5,1,12,2,0,3,3,0,0,4,3,3,0,-1,0,-3,11,2,4,8,12,2,4,8,2
8415,3,9,10,17,20,0,1,1,2,1,1,2,3,-1,0,-1,-1,13,13,3,2,13,13,4,2,4
8415,4,15,6,4,19,2,0,0,0,3,1,0,1,-1,-1,0,-1,2,13,10,2,2,13,11,2,1
8416,0,11,14,12,16,2,3,0,0,2,3,2,3,0,0,-2,-3,11,2,5,2,11,2,5,2,2
8416,1,7,13,2,18,-1,0,2,2,1,1,2,3,-2,-1,0,-1,11,5,3,2,11,5,3,2,3
8416,2,15,17,5,10,0,1,3,-1,1,3,3,0,-1,-2,0,-1,2,5,2,13,2,4,2,13,3
8416,3,6,3,9,19,1,3,1,-1,2,4,2,1,-1,-1,-1,-2,6,11,13,2,9,13,13,2,4
8416,4,20,1,8,4,0,2,1,1,1,3,4,1,-1,-1,-3,0,12,2,13,2,12,2,13,2,2
8417,0,16,10,3,1,1,0,1,2,2,1,2,3,-1,-1,-1,-1,4,13,13,2,6,13,13,2,4
8417,1,15,4,20,19,3,1,1,-3,3,2,3,0,0,-1,-2,-3,2,8,8,13,2,10,10,13,1
8417,2,17,12,6,11,0,1,-2,2,2,2,0,2,-2,-1,-2,0,3,3,8,3,3,3,7,3,4
8417,3,2,5,14,18,4,0,2,2,4,1,3,3,0,-1,-1,-1,3,5,4,3,3,5,4,3,1
8417,4,7,8,13,9,0,1,0,1,2,3,2,2,-2,-2,-2,-1,5,6,2,4,5,6,3,4,2
8418,0,1,2,18,20,1,2,-1,-2,2,3,3,0,-1,-1,-4,-2,2,3,13,4,2,3,13,4,2
8418,1,7,6,9,16,4,-1,-1,-1,4,0,0,2,0,-1,-1,-3,2,8,13,2,2,7,13,2,1
8418,2,19,10,8,15,-5,0,0,2,0,1,2,2,-5,-1,-2,0,13,13,13,2,13,13,13,2,4
8418,3,17,13,11,14,3,-1,2,3,5,1,3,4,-2,-2,-1,-1,2,5,9,2,2,5,9,2,4
8418,4,5,3,12,4,3,1,3,-1,3,3,3,0,0,-2,0,-1,2,13,3,3,2,13,3,3,4
8419,0,4,19,16,6,-2,-3,4,0,1,0,4,2,-3,-3,0,-2,13,6,2,7,13,7,2,9,3
8419,1,12,17,5,18,4,1,2,0,4,3,2,2,0,-2,0,-2,4,4,2,8,4,4,2,8,1
8419,2,20,1,9,14,-1,-1,1,-2,0,3,2,0,-1,-4,-1,-2,2,2,9,5,2,2,8,5,1
8419,3,13,11,2,7,-2,2,3,0,2,2,4,2,-4,0,-1,-2,9,7,2,3,9,7,2,3,3
8419,4,3,8,10,15,2,-1,0,3,2,2,0,3,0,-3,0,0,13,13,13,2,13,13,13,2,4
8420,0,18,3,8,6,1,-1,1,-1,3,1,2,1,-2,-2,-1,-2,4,12,3,2,4,12,3,2,1
8420,1,5,11,2,9,0,0,0,-1,1,1,2,0,-1,-1,-2,-1,2,7,3,7,2,7,3,7,4
8420,2,17,19,13,4,1,2,-3,1,3,2,0,2,-2,0,-3,-1,13,2,13,4,13,2,13,6,2
8420,3,16,7,15,14,6,-2,4,2,6,0,4,4,0,-2,0,-2,7,13,2,13,9,13,2,13,3
8420,4,12,20,1,10,4,2,0,0,4,2,2,0,0,0,-2,0,5,2,2,13,4,2,2,13,1
8421,0,17,16,1,4,5,2,3,1,5,3,4,3,0,-1,-1,-2,4,7,2,5,4,7,2,5,1
8421,1,19,11,9,15,-1,3,1,0,1,3,1,2,-2,0,0,-2,4,11,13,2,6,13,13,2,4
8421,2,10,13,6,5,-1,-1,1,1,0,0,2,1,-1,-1,-1,0,13,7,4,2,13,9,6,2,4
8421,3,8,12,20,2,4,1,0,2,4,1,3,3,0,0,-3,-1,6,7,2,2,4,7,2,2,2
8421,4,14,3,18,7,5,2,5,-2,5,3,5,1,0,-1,0,-3,3,13,2,10,4,13,2,13,3
8422,0,18,4,12,20,0,2,5,0,1,2,6,1,-1,0,-1,-1,13,2,3,3,13,2,3,3,4
8422,1,13,5,14,15,-2,3,2,-1,1,3,3,1,-3,0,-1,-2,13,3,9,2,13,3,10,2,4
8422,2,9,6,17,3,0,-1,2,3,1,0,3,5,-1,-1,-1,-2,13,11,2,5,13,13,2,7,3
8422,3,1,2,19,16,1,-1,-1,1,2,1,1,2,-1,-2,-2,-1,2,13,2,4,2,13,2,3,4
8422,4,8,10,7,11,2,0,3,1,3,2,3,1,-1,-2,0,0,9,13,2,3,10,13,2,4,3
8423,0,18,5,17,20,-2,2,-1,0,2,4,1,1,-4,-2,-2,-1,13,4,4,2,13,6,6,2,2
8423,1,6,2,4,11,2,-1,2,0,2,3,4,2,0,-4,-2,-2,4,11,2,5,5,12,2,6,2
8423,2,15,3,7,10,3,3,2,0,4,4,3,1,-1,-1,-1,-1,2,13,7,13,2,13,10,13,3
8423,3,9,14,16,13,-1,-1,-1,0,1,1,1,1,-2,-2,-2,-1,13,11,3,2,13,13,4,2,3
8423,4,19,1,12,8,-1,2,3,1,1,3,4,3,-2,-1,-1,-2,4,2,5,10,4,2,6,11,2
8424,0,5,11,15,7,0,2,0,3,1,3,1,3,-1,-1,-1,0,13,13,2,3,13,13,2,4,4
8424,1,10,4,19,12,0,2,0,2,1,2,1,3,-1,0,-1,-1,13,3,2,4,13,2,2,3,2
8424,2,16,2,14,1,2,2,1,4,3,4,3,5,-1,-2,-2,-1,6,13,13,2,9,13,13,2,1
8424,3,17,9,6,18,5,3,0,2,6,3,1,4,-1,0,-1,-2,2,13,10,5,2,13,13,7,1
8424,4,3,8,20,13,3,1,-1,1,3,3,1,2,0,-2,-2,-1,12,11,3,2,12,11,3,2,2
8425,0,16,5,13,2,0,1,-2,-2,1,2,0,1,-1,-1,-2,-3,4,2,4,7,4,2,4,7,4
8425,1,3,9,17,20,3,0,5,-1,4,1,5,0,-1,-1,0,-1,13,13,2,3,13,13,2,4,3
8425,2,10,11,8,1,0,1,2,1,1,2,4,3,-1,-1,-2,-2,13,13,5,2,13,13,7,2,4
8425,3,15,18,12,7,2,1,3,2,3,1,4,3,-1,0,-1,-1,2,12,8,5,2,13,10,7,4
8425,4,4,14,19,6,2,1,1,1,2,1,2,1,0,0,-1,0,4,13,2,6,6,13,2,7,3
8426,0,5,14,9,6,-1,0,0,0,0,1,1,0,-1,-1,-1,0,3,5,13,2,3,4,13,2,4
8426,1,12,3,13,7,3,1,4,0,4,1,4,1,-1,0,0,-1,7,13,2,4,10,13,2,6,1
8426,2,20,8,10,18,1,1,-2,4,3,2,0,5,-2,-1,-2,-1,3,6,13,2,3,6,13,2,1
8426,3,17,19,2,1,4,0,2,-1,4,2,3,1,0,-2,-1,-2,3,2,9,3,3,2,7,3,4
8426,4,16,11,15,4,0,4,-3,2,1,4,1,2,-1,0,-4,0,7,7,4,2,7,7,4,2,2
8427,0,11,5,2,1,0,2,2,3,1,2,5,4,-1,0,-3,-1,13,4,13,2,13,6,13,2,2
8427,1,17,8,20,10,0,-1,-2,2,0,2,1,3,0,-3,-3,-1,2,12,3,4,2,12,2,4,1
8427,2,6,13,12,3,0,1,3,2,1,2,3,3,-1,-1,0,-1,10,3,2,6,11,3,2,6,4
8427,3,15,4,19,9,0,-1,-3,1,1,1,1,2,-1,-2,-4,-1,2,8,5,13,2,10,7,13,3
8427,4,14,18,16,7,1,1,1,2,2,2,3,3,-1,-1,-2,-1,12,6,2,2,12,6,2,2,3
8428,0,20,10,16,8,2,1,5,-4,2,2,5,0,0,-1,0,-4,4,13,2,13,6,13,2,13,1
8428,1,11,6,17,5,1,-1,0,1,1,1,2,3,0,-2,-2,-2,13,13,2,2,13,13,2,2,3
8428,2,12,1,19,15,1,2,0,1,3,4,2,2,-2,-2,-2,-1,13,8,5,2,13,10,7,2,3
8428,3,18,14,9,3,-1,1,1,1,2,2,1,2,-3,-1,0,-1,7,2,5,3,7,2,5,3,4
